time,increased,absolute
2015-09-13 03:45:19,55,55
2015-09-13 04:45:11,806,861
2015-09-13 05:45:12,3060,3921
2015-09-13 06:45:16,4047,7968
2015-09-13 07:45:09,2621,10589
2015-09-13 08:45:10,4425,15014
2015-09-13 09:45:08,4557,19571
2015-09-13 10:36:17,3287,22858
2015-09-13 11:30:14,3557,26415
2015-09-13 12:35:20,4170,30585
2015-09-13 13:44:38,2312,32897
2015-09-13 14:29:19,1037,33934
2015-09-13 15:31:00,1086,35020
2015-09-13 16:33:46,766,35786
2015-09-13 17:44:17,1168,36954
2015-09-13 18:29:14,783,37737
2015-09-13 19:13:02,972,38709
2015-09-13 19:58:27,7743,46452
